Title,Score,Year,Genre,Released,Critics,Perspective,Gameplay,Interface,Setting
Super Mario Odyssey,9.4,2017,['Action'],October,96,['Behind view'],['Platform'],['Direct control'],['Fantasy']
The Legend of Zelda: Breath of the Wild,9.4,2017,['Action'],March,96,['Behind view'],"['Puzzle elements', 'Role-playing elements', 'Sandbox / open world']","['Direct control', 'Motion control']","['Fantasy', 'Post-apocalyptic', 'Sci-fi / futuristic']"
The Legend of Zelda: Tears of the Kingdom,9.3,2023,['Action'],May,95,['Behind view'],"['Puzzle elements', 'Role-playing elements', 'Sandbox / open world']",['Direct control'],['Fantasy']
Metroid Prime: Remastered,9.3,2023,['Action'],February,94,['1st-person'],['Metroidvania'],['Direct control'],['Sci-fi / futuristic']
Hollow Knight,9.1,2018,['Action'],February,93,['Side view'],"['Metroidvania', 'Platform']",['Direct control'],['Fantasy']
Mario Kart 8 Deluxe,9.0,2017,['Racing / Driving'],April,93,['Behind view'],['Arcade'],"['Direct control', 'Motion control']",['Fantasy']
Celeste,8.9,2018,['Action'],January,91,['Side view'],['Platform'],['Direct control'],['Fantasy']
Super Mario Bros. Wonder,8.9,2023,['Action'],October,90,['Side view'],['Platform'],['Direct control'],['Fantasy']
Persona 5: Royal,8.9,2022,"['Role-playing (RPG)', 'Compilation']",October,95,['Behind view'],"['Japanese-style', 'Role-playing']","['Direct control', 'Menu structures']","['Asia', 'Contemporary', 'Fantasy']"
Hades,8.9,2020,['Role-playing (RPG)'],December,94,['Diagonal-down'],"['Action', 'Role-playing', 'Hack and slash', 'Roguelike']",['Direct control'],"['Classical antiquity', 'Fantasy']"
Super Smash Bros. Ultimate,8.9,2018,['Action'],December,93,['Side view'],['Fighting'],,
Xenoblade Chronicles 3,8.8,2022,['Role-playing (RPG)'],July,91,['3rd-person'],"['Action', 'Role-playing', 'Japanese-style', 'Role-playing', 'Sandbox / open world']",,['Fantasy']
Bayonetta 2,8.8,2018,['Action'],September,92,['Behind view'],['Hack and slash'],['Direct control'],['Fantasy']
Metroid Dread,8.8,2021,['Action'],October,90,['Side view'],"['Metroidvania', 'Platform', 'Shooter']",['Direct control'],['Sci-fi / futuristic']
Paper Mario: The Thousand-Year Door,8.7,2024,['Role-playing (RPG)'],May,88,"['Behind view', 'Side view']","['Japanese-style', 'Role-playing']",['Direct control'],['Fantasy']
Inside,8.7,2018,['Action'],June,90,['Side view'],"['Platform', 'Puzzle elements', 'Stealth']",['Direct control'],
Tetris Effect,8.7,2021,"['Action', 'Puzzle']",November,92,['Side view'],['Falling block puzzle'],['Direct control'],
Super Mario 3D World + Bowser’s Fury,8.7,2021,['Action'],2021,88,['3rd-person'],['Platform'],['Direct control'],
Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,8.7,2019,['Role-playing (RPG)'],September,92,['3rd-person'],"['Action', 'Role-playing', 'Sandbox / open world']",['Direct control'],['Fantasy']
The House in Fata Morgana: Dreams of the Revenants Edition,8.6,2021,"['Adventure', 'Compilation']",2019,92,['1st-person'],['Visual novel'],,
Lorelei and the Laser Eyes,8.6,2024,"['Adventure', 'Puzzle']",May,88,"['1st-person', '3rd-person']",,"['Direct control', 'Point and select']",['Europe']
Chained Echoes,8.6,2022,['Role-playing (RPG)'],December,90,['Diagonal-down'],"['Japanese-style', 'Role-playing']",['Direct control'],['Fantasy']
Theatrhythm: Final Bar Line,8.6,2023,['Action'],February,87,['Side view'],['Music / rhythm'],['Direct control'],"['Fantasy', 'Sci-fi / futuristic']"
Super Mario Maker 2,8.6,2019,['Action'],June,90,['Side view'],['Platform'],"['Direct control', 'Point and select']",
Mario + Rabbids: Sparks of Hope,8.6,2022,['Role-playing (RPG)'],October,86,['Diagonal-down'],"['Tactical', 'Role-playing']",['Point and select'],['Fantasy']
Undertale,8.6,2018,['Role-playing (RPG)'],September,91,['Diagonal-down'],"['Japanese-style', 'Role-playing']",['Menu structures'],['Fantasy']
13 Sentinels: Aegis Rim,8.6,2022,"['Adventure', 'Strategy / tactics']",November,88,"['Diagonal-down', 'Side view']","['Graphic adventure', 'Puzzle elements', 'Role-playing elements']","['Direct control', 'Point and select']","['Fantasy', 'Japan', 'Japan', 'Post-apocalyptic', 'Sci-fi / futuristic']"
Kirby and the Forgotten Land,8.5,2022,['Action'],March,88,"['3rd-person', 'Diagonal-down']",['Platform'],['Direct control'],['Fantasy']
Monster Hunter: Rise,8.5,2021,['Role-playing (RPG)'],March,88,['Behind view'],"['Action', 'Role-playing']",['Direct control'],['Fantasy']
Persona 4 Golden,8.5,2023,['Role-playing (RPG)'],June,93,['3rd-person'],,,['Fantasy']
Minecraft: Nintendo Switch Edition,8.5,2017,['Action'],May,88,"['1st-person', '3rd-person']",['Sandbox / open world'],,['Fantasy']
Balatro,8.5,2024,['Strategy / tactics'],February,92,"['1st-person', 'Top-down']","['Cards / tiles', 'Roguelike']",['Point and select'],
Tsukihime: A piece of blue glass moon,8.5,2021,['Adventure'],August,92,['1st-person'],['Visual novel'],['Menu structures'],"['Contemporary', 'Fantasy']"
Shin Megami Tensei V,8.5,2021,['Role-playing (RPG)'],November,88,"['3rd-person', 'Behind view']",,['Direct control'],"['Fantasy', 'Japan', 'Post-apocalyptic']"
Atari 50: The Anniversary Celebration,8.5,2022,"['Action', 'Educational', 'Compilation']",November,87,,['Arcade'],"['Direct control', 'Point and select']",
Animal Well,8.5,2024,['Action'],May,90,['Side view'],"['Metroidvania', 'Platform']",['Direct control'],['Fantasy']
Diablo III: Eternal Collection,8.5,2018,"['Role-playing (RPG)', 'Compilation']",June,88,['Diagonal-down'],"['Action', 'Role-playing', 'Hack and slash']",['Point and select'],['Fantasy']
Stardew Valley,8.5,2017,"['Simulation', 'Role-playing (RPG)']",February,91,['Diagonal-down'],['City building / construction simulation'],['Direct control'],
Xenoblade Chronicles: Definitive Edition,8.5,2020,['Role-playing (RPG)'],May,91,['3rd-person'],"['Action', 'Role-playing', 'Japanese-style', 'Role-playing', 'Sandbox / open world']",['Direct control'],['Fantasy']
Animal Crossing: New Horizons,8.4,2020,['Simulation'],March,89,['Diagonal-down'],['Life / social simulation'],['Direct control'],
